claim,speaker,subject,label,label_str
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,ted-nugent,candidates-biography,1,half-true
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",pamela-geller,"technology,terrorism",0,false
Youth unemployment in minority communities is about 40 to 45 percent.,peter-kinder,"diversity,economy,jobs",1,mostly-true
Says Paul Ryan is still endorsing Trump.,hillary-clinton,"candidates-biography,elections,campaign-advertising",1,true
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",nicholas-kettle,"economy,labor,states,unions,workers",0,barely-true
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,shelley-moore-capito,"climate-change,energy,environment,government-regulation",0,false
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,rick-scott,"small-business,taxes",1,mostly-true
Says Mark Pryor votes with Obama 93 percent of the time.,tom-cotton,"bipartisanship,voting-record",1,mostly-true
We have a federal government that thinks they have the authority to regulate our toilet seats.,ted-cruz,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",1,true
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,lee-leffingwell,"city-government,population",1,true
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",north-korea,military,1,true
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",walking-dead,"health-care,pop-culture",0,pants-fire
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",kelly-ayotte,debt,1,true
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,marco-rubio,"legal-issues,supreme-court",0,false
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,keep-promise-1-pac,"military,voting-record",1,half-true
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",national-republican-congressional-committee,"energy,stimulus",0,pants-fire
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,rachel-maddow,"abortion,pundits,women",0,pants-fire
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.',jerry-patterson,"homeland-security,terrorism",0,false
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,bernie-s,"diversity,economy,jobs",1,half-true
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",chain-email,"health-care,immigration",0,pants-fire
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,john-boehner,"deficit,federal-budget",0,false
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,katrina-pierson,"iraq,military",0,pants-fire
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,blog-posting,patriotism,1,true
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,rick-perry,"health-care,states",0,barely-true
"Maggie Hassan raised tuition, making it the highest in America.",national-republican-senatorial-committee,education,0,barely-true
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,ken-cuccinelli,"campaign-finance,ethics,history",0,false
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",andrew-cuomo,jobs,1,true
"We have towns in West Texas that are out of water, that are having to truck in water.",sid-miller,water,0,barely-true
"In Georgia, women earn 82 cents for every dollar earned by men.",jim-barksdale,"jobs,women",1,half-true
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,david-raynor,immigration,1,half-true
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",donald-trump,immigration,0,barely-true
Sen. Obama's campaign announced that he's choosing his cabinet.,john-mccain,elections,0,false
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",battleground-texas,"elections,population",1,mostly-true
Only 2 percent of public high schools in the country offer PE classes.,michelle-obama,"education,health-care",0,false
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",rudy-giuliani,job-accomplishments,1,mostly-true
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",john-barrasso,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",1,true
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",empower-texans,"education,message-machine,taxes",1,mostly-true
"Under Mayor Cicilline, [Providence] was a sanctuary city.",john-depetro,"history,homeland-security,immigration,legal-issues,pundits",0,false
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,garnet-coleman,"corrections-and-updates,crime,criminal-justice,sexuality",0,pants-fire
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",mitt-romney,"candidates-biography,job-accomplishments",1,true
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",donald-trump,"civil-rights,elections,terrorism",0,false
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,michael-opitz,"criminal-justice,terrorism",0,barely-true
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,rick-scott,"economy,financial-regulation,message-machine",0,barely-true
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",terry-mcauliffe,jobs,1,true
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",mitt-romney,"housing,message-machine-2012",0,barely-true
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",alfredo-gutierrez,"immigration,legal-issues",1,mostly-true
The only time in our history when the debt has been higher than this was the end of World War II.,david-cote,debt,1,mostly-true
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,barack-obama,"deficit,federal-budget,health-care",1,mostly-true
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",george-will,"economy,abc-news-week",1,true
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,elena-kagan,"kagan-nomination,supreme-court",0,false
Says one out of three U.S. homeless men is a veteran.,texas-veterans-commission,"poverty,veterans",0,barely-true
Says Charlie Crist supports cuts to the Medicare Advantage program.,republican-party-florida,"health-care,medicare",0,false
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,maurice-ferre,energy,1,half-true
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,jeanne-shaheen,"health-care,legal-issues,women",1,true
"At some point in their lives, 99% of women use birth control.",susan-happ,sexuality,1,half-true
"In the past 20 years, Egypt has made great strides in political and democratic reform.",sameh-shoukry,"foreign-policy,abc-news-week",0,false
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,karl-rove,"terrorism,transportation",0,false
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,gwen-graham,federal-budget,1,true
"In Rick Perrys Texas, we import nurses ... from other countries.",bill-white,health-care,1,half-true
There is a federal criminal law that says its a crime to transport dentures across state lines.,bob-goodlatte,public-health,1,mostly-true
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,cory-booker,"crime,criminal-justice",1,mostly-true
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",joe-biden,taxes,0,barely-true
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,jim-skaggs,"city-budget,city-government,taxes",0,false
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",john-mccain,immigration,0,false
I belong to the AFL-CIO.,rick-perry,"candidates-biography,labor",1,true
The insurance commissioner cant do squat about health care.,ralph-hudgens,health-care,1,mostly-true
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,mitt-romney,polls,1,half-true
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",mitt-romney,"foreign-policy,history,military",0,barely-true
Says David Jolly supports privatizing Social Security.,florida-democratic-party,social-security,0,barely-true
Did you know US population growth is at its lowest since the Great Depression?,robert-sarvis,"immigration,population",1,true
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",will-weatherford,education,1,mostly-true
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",mark-shields,guns,1,true
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,national-association-realtors,housing,1,mostly-true
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,brady-campaign-prevent-gun-violence,guns,0,false
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",federal-transit-administration,transportation,0,pants-fire
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",alison-lundergan-grimes,"income,message-machine-2014,poverty",1,mostly-true
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",mitch-mcconnell,"foreign-policy,history,terrorism",1,mostly-true
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",donald-trump,"foreign-policy,military,terrorism",0,false
Sen. Obama has always had a 100 percent prochoice rating.,barack-obama,abortion,1,true
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",frank-caprio,"candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",1,half-true
The (federal) debt is growing by more than $4 billion a day.,rick-perry,"deficit,economy,federal-budget",1,true
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",david-scott,jobs,1,half-true
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",terry-mcauliffe,"education,retirement",0,false
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,scott-walker,"government-regulation,jobs,poverty,welfare",1,mostly-true
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",ron-johnson,"corporations,economy,health-care,public-health,workers",1,half-true
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",donna-brazile,"elections,taxes",1,half-true
Says Obama promised unemployment would never go above 8 percent.,paul-ryan,jobs,0,barely-true
The economy is creating jobs at the fastest pace since 1999.,barack-obama,"economy,jobs",1,true
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,adam-hasner,"foreign-policy,israel,message-machine-2012",1,mostly-true
"In a majority of states, you can now marry freely, but can still be fired for who you love.",mark-pocan,"civil-rights,gays-and-lesbians,states",1,mostly-true
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,blog-posting,candidates-biography,0,pants-fire
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",joe-biden,job-accomplishments,0,pants-fire
"About half of the presidents have been governors; half of them, senators.",ted-cruz,"congress,corrections-and-updates,elections,history,states",0,false
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",hillary-clinton,"economy,retirement",1,mostly-true
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",kathleen-sebelius,medicaid,1,mostly-true
Says 88 Texas constables have died in the line of duty.,bruce-elfant,"crime,criminal-justice,history,public-safety,public-service",1,true
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",republican-party-florida,education,1,mostly-true
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",dave-yost,"jobs,labor,unions",1,mostly-true
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",alex-sink,job-accomplishments,1,true
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,hillary-clinton,"education,technology,women",1,mostly-true
The Air Force wants taxpayers to fund a fantasy football league.,blog-posting,"families,federal-budget,military",0,false
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,government-not-god-pac,"islam,message-machine-2012",0,pants-fire
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,joe-scarborough,"crime,guns",1,half-true
Some neighborhood schools are closing.,texas-house-democratic-caucus,"education,state-budget",1,mostly-true
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,john-mccain,gays-and-lesbians,1,mostly-true
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",marco-rubio,"state-budget,taxes",1,mostly-true
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",rick-scott,"economy,jobs",0,barely-true
Says the U.S. Supreme Court found that Social Security is not guaranteed.,david-jolly,social-security,1,true
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,jon-keyser,"congress,terrorism",0,false
Oregonians have an amazing no-cost way to fight abortion with free political donations,oregon-right-life-pac,"abortion,campaign-finance",1,true
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",sean-hannity,"foreign-policy,immigration,terrorism",0,pants-fire
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",rush-limbaugh,"immigration,pundits",0,barely-true
Newt Gingrichs immigration plan offers a new doorway to amnesty.,mitt-romney,immigration,1,mostly-true
Mr. Caprio is a career politician who has never worked in the private sector.,john-robitaille,candidates-biography,0,false
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",patricia-morgan,"disability,labor,states,workers",0,barely-true
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",dave-brat,"debt,federal-budget,taxes",1,mostly-true
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,hillary-clinton,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",1,mostly-true
Donald Trump has said nuclear proliferation is OK.,mark-warner,nuclear,1,half-true
"Hillary Clinton has taken over $800,000 from lobbyists.",barack-obama,ethics,1,true
Barack Obama has never even worked in business.,rob-portman,candidates-biography,0,false
Says the Arizona immigration law expressly bans racial profiling.,john-cornyn,immigration,1,half-true
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,louie-gohmert,"crime,immigration",0,false
"On the VA: Over 300,000 veterans have died waiting for care.",donald-trump,"health-care,veterans",0,barely-true
Were now spending 42 percent of our economy on government.,mitt-romney,"debates,federal-budget,government-efficiency",1,mostly-true
Rob Cornilles supports privatizing Medicare.,democratic-congressional-campaign-committee,"medicare,message-machine-2012",0,barely-true
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",texas-right-life,"abortion,corrections-and-updates",0,false
We (Democrats) have made steady progress creating jobs and improving our schools.,armond-budish,"education,government-efficiency,job-accomplishments,jobs",1,half-true
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,jeff-kruse,environment,0,pants-fire
"Whether you like to admit it or not, half our general revenue goes to education.",mike-haridopolos,"education,state-budget",1,true
Im the only one whos fought against developers draining the Everglades!,kendrick-meek,"environment,message-machine",0,false
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,americans-united-change,"crime,debt,federal-budget,social-security",1,half-true
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",paul-skip-stam,"gays-and-lesbians,government-regulation,sexuality",1,half-true
Climate change is directly related to the growth of terrorism.,bernie-s,"climate-change,terrorism",0,barely-true
The jobs bill includes President Obamas tax on soup kitchens,eric-cantor,"economy,jobs,taxes,workers",0,barely-true
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,paul-ryan,stimulus,0,barely-true
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,chain-email,civil-rights,1,half-true
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",robert-puente,"city-government,crime,drugs,government-regulation,marijuana",1,half-true
We have more illegal immigrants here than we did five years ago.,marco-rubio,immigration,0,false
Says Rick Perry wrote a letter supporting Hillarycare.,ron-paul,health-care,0,barely-true
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,blog-posting,sports,0,false
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",nancy-pfotenhauer,"health-care,pundits",0,pants-fire
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,gary-johnson,immigration,1,mostly-true
Says Chris Christie vetoed a jobs package of 30 bills.,stephen-sweeney,jobs,1,half-true
There are already more American jobs in the solar industry than in coal mining.,sheldon-whitehouse,"climate-change,energy,environment,jobs",1,true
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,pat-quinn,"agriculture,job-accomplishments,message-machine",1,half-true
Barack Obama is in an economy thats only worsened since hes been president of the United States.,matthew-dowd,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",1,half-true
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",rudy-giuliani,immigration,1,mostly-true
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",one-new-jersey,"economy,job-accomplishments,jobs",1,half-true
Says Thomas Eric Duncan came into the United States with an elevated temperature.,darrell-issa,"ebola,health-care,public-health,transportation",0,false
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,robert-gibbs,afghanistan,1,mostly-true
Gas prices have gone up $2 since Obama took office.,michael-williams,"energy,gas-prices",1,half-true
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,alan-grayson,"marriage,message-machine,women",1,true
Says judges get better benefits at a lower cost than everybody else in the state.,chris-christie,pensions,1,true
There are a lot of casinos across the country that have gone bankrupt.,robert-jacquard,"bankruptcy,economy,gambling,state-budget,state-finances,states",1,true
Small businesses create 70 percent of the jobs in America.,eric-cantor,"economy,jobs,small-business",1,true
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",americas-health-insurance-plans,"health-care,medicare",1,half-true
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",dream-defenders,"children,crime,education",1,half-true
If Texas were a country our economy would rank # 10...in the WORLD.,greg-abbott,"corrections-and-updates,economy,states",1,mostly-true
There are more oil rigs in operation in the United States than the rest of the world combined.,david-cicilline,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",0,false
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",wendy-davis,financial-regulation,1,half-true
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",marcy-kaptur,social-security,1,half-true
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,americans-tax-reform,"elections,taxes",1,mostly-true
The Obama administration shut down the Amber Alert program because of the government shutdown.,tweets,"children,crime,federal-budget",0,false
The Republicans have 2 percent of the Muslim vote.,tamara-holder,religion,1,mostly-true
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",hank-johnson,criminal-justice,1,mostly-true
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",chain-email,"energy,environment,military",0,pants-fire
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",facebook-posts,"economy,jobs",1,half-true
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",mike-murphy,"elections,immigration,pundits",1,true
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,hillary-clinton,"candidates-biography,congress,foreign-policy,history,terrorism",1,mostly-true
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",sean-hannity,"pundits,transportation",0,false
Not one Republican has the guts to recognize that climate change is real.,bernie-s,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",0,false
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",bernie-s,"economy,income,workers",1,half-true
David Dewhurst has a record of promoting an income tax.,ted-cruz,taxes,0,pants-fire
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,vincent-barrella,"environment,income",1,mostly-true
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",alan-grayson,afghanistan,0,barely-true
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",lamar-smith,"crime,homeland-security,immigration",0,false
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,bill-johnson,"economy,jobs",0,barely-true
Says Obama health reform law denies millions access to affordable insurance.,eric-hovde,"health-care,workers",0,false
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,john-skvarla,"corporations,economy,gays-and-lesbians,state-finances,states",0,barely-true
Close to 30% of our federal prison population consists of illegal immigrants.,daniel-mielke,immigration,0,false
Says Rick Scott called education not a core function of the state.,florida-democratic-party,"education,state-budget",0,false
"The Family Research Council, according to some government agencies, is a terrorist group.",ben-carson,terrorism,0,false
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",blue-oregon,"health-care,taxes",1,true
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,raymond-bateman,"elections,states",1,true
Obamacare is the biggest tax increase in American history.,mark-neumann,"corrections-and-updates,federal-budget,health-care,taxes",0,false
You ... said that Barack Obama was not ready to be commander in chief.,sarah-palin,candidates-biography,1,true
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",rana-foroohar,"economy,jobs,labor,workers",1,mostly-true
Milwaukee Mayor Tom Barrett has held the line on property taxes.,barack-obama,"job-accomplishments,taxes",0,barely-true
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,alan-grayson,campaign-finance,1,true
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",tom-niehaus,"bipartisanship,job-accomplishments",1,true
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,sherrod-brown,"job-accomplishments,message-machine-2012,state-finances",0,false
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",nextgen-climate,"campaign-finance,environment",1,half-true
On how money from a possible lease of the Ohio Turnpike would be used,john-kasich,"infrastructure,transportation",1,half-true
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",barack-obama,"economy,federal-budget",1,mostly-true
"The president has had 1,540 of his nominations confirmed, only four defeated.",mitch-mcconnell,legal-issues,1,half-true
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,ileana-ros-lehtinen,"foreign-policy,religion,terrorism",1,true
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",chris-moews,"labor,public-safety",0,barely-true
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,robby-mook,"criminal-justice,government-regulation",1,mostly-true
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",carolyn-maloney,"economy,history,workers",1,true
"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",lindsey-graham,iraq,1,true
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,mark-strama,bipartisanship,0,barely-true
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,joe-biden,taxes,1,half-true
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",patrick-leahy,"kagan-nomination,military,abc-news-week",1,half-true
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",fix-austin-schools,"children,education,state-budget,state-finances",1,mostly-true
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",democratic-senatorial-campaign-committee,"education,federal-budget",1,half-true
